species,latin name,catch,biomass
Hake,Merluccius merluccius,19.21,23.31
Angler fish,Lophius spp,5.02,7.06
Poor cod,Trisopterus minutus,3.69,4.9
Horse mackerel,Trachurus trachurus,11.02,14.13
Shortfin squid,Illex coindetii,6.7,12.71
Blue whiting,Micromesistiu poutassou,8.07,10.58
Horned octopus,Eledone cirrhosa,5.68,8.66
Spotted flounder,Citharus linguatula,1.62,2.32
Black goby,Gobius niger,0,0.16
Gurnards,Triglidae,2.96,4.42
Red mullet,Mullus barbatus,5.91,7.35
Striped red mullet,Mullus surmuletus,3.16,4.61
